iter	Passed	Remaining
335	1306	2581
336	1309	2577
337	1313	2572
338	1316	2566
339	1317	2558
340	1319	2550
341	1325	2549
342	1328	2544
343	1331	2539
344	1336	2536
345	1338	2529
346	1342	2526
347	1346	2522
348	1348	2516
349	1351	2509
350	1353	2502
351	1358	2500
352	1362	2497
353	1364	2489
354	1368	2487
355	1372	2482
356	1376	2479
357	1379	2473
358	1382	2468
359	1386	2465
360	1392	2464
361	1395	2458
362	1400	2457
363	1403	2452
364	1406	2447
365	1409	2441
366	1410	2433
367	1411	2424
368	1413	2417
369	1415	2410
370	1417	2403
371	1421	2399
372	1423	2392
373	1425	2386
374	1427	2379
375	1429	2372
376	1431	2366
377	1434	2360
378	1435	2351
379	1437	2345
380	1438	2336
381	1440	2329
382	1443	2325
383	1445	2319
384	1447	2312
385	1451	2308
386	1453	2302
387	1455	2296
388	1459	2292
389	1462	2286
390	1463	2279
391	1465	2273
392	1468	2267
393	1469	2260
394	1472	2255
395	1474	2248
396	1475	2241
397	1477	2234
398	1479	2228
399	1483	2225
400	1486	2219
401	1487	2212
402	1490	2207
403	1495	2205
404	1497	2199
405	1500	2194
406	1502	2188
407	1504	2182
408	1506	2176
409	1509	2172
410	1511	2166
411	1513	2160
412	1514	2153
413	1516	2147
414	1518	2140
415	1520	2134
416	1524	2131
417	1527	2127
418	1529	2120
419	1530	2114
420	1532	2107
421	1535	2102
422	1537	2096
423	1539	2091
424	1540	2084
425	1541	2077
426	1544	2072
427	1545	2065
428	1547	2059
429	1550	2055
430	1552	2049
431	1555	2044
432	1557	2038
433	1557	2031
434	1560	2026
435	1562	2020
436	1564	2015
437	1567	2011
438	1569	2005
439	1571	2000
440	1573	1995
441	1575	1989
442	1577	1983
443	1578	1976
444	1580	1971
445	1581	1965
446	1583	1959
447	1585	1953
448	1587	1948
449	1589	1942
450	1591	1937
451	1593	1932
452	1595	1927
453	1598	1922
454	1599	1916
455	1601	1910
456	1602	1904
457	1605	1899
458	1607	1894
459	1608	1888
460	1611	1884
461	1613	1878
462	1614	1872
463	1615	1866
464	1616	1860
465	1617	1854
466	1619	1848
467	1620	1841
468	1621	1835
469	1622	1829
470	1624	1824
471	1626	1819
472	1627	1813
473	1629	1807
474	1630	1802
475	1632	1796
476	1632	1790
477	1634	1784
478	1635	1779
479	1636	1773
480	1638	1767
481	1640	1762
482	1641	1756
483	1642	1751
484	1644	1746
485	1646	1741
486	1647	1735
487	1648	1729
488	1649	1724
489	1651	1719
490	1653	1714
491	1656	1710
492	1658	1705
493	1659	1700
494	1660	1694
495	1662	1689
496	1664	1684
497	1666	1679
498	1667	1673
499	1668	1668
500	1671	1664
501	1672	1659
502	1674	1654
503	1675	1648
504	1676	1643
505	1677	1637
506	1678	1632
507	1680	1627
508	1681	1622
509	1682	1616
510	1683	1611
511	1685	1606
512	1686	1600
513	1687	1595
514	1688	1590
515	1689	1585
516	1691	1580
517	1692	1574
518	1694	1570
519	1695	1564
520	1696	1559
521	1697	1554
522	1699	1550
523	1700	1545
524	1701	1539
525	1703	1535
526	1704	1529
527	1705	1524
528	1706	1519
529	1707	1514
530	1708	1509
531	1710	1504
532	1711	1499
533	1713	1495
534	1714	1490
535	1716	1485
536	1716	1480
537	1717	1475
538	1719	1470
539	1720	1465
540	1721	1460
541	1722	1455
542	1723	1450
543	1724	1445
544	1725	1440
545	1726	1435
546	1727	1430
547	1728	1426
548	1730	1421
549	1731	1416
550	1732	1411
551	1733	1406
552	1734	1402
553	1735	1397
554	1736	1392
555	1737	1387
556	1738	1382
557	1739	1378
558	1740	1373
559	1742	1369
560	1743	1364
561	1744	1359
562	1745	1355
563	1746	1350
564	1747	1345
565	1749	1341
566	1750	1336
567	1750	1331
568	1752	1327
569	1753	1322
570	1754	1318
571	1756	1314
572	1756	1309
573	1757	1304
574	1758	1300
575	1760	1295
576	1761	1291
577	1762	1286
578	1763	1282
579	1764	1277
580	1765	1273
581	1766	1268
582	1767	1264
583	1768	1259
584	1769	1255
585	1770	1250
586	1771	1246
587	1772	1242
588	1773	1237
589	1775	1233
590	1776	1229
591	1777	1224
592	1778	1220
593	1779	1216
594	1780	1211
595	1781	1207
596	1782	1203
597	1783	1198
598	1784	1194
599	1786	1190
600	1787	1186
601	1788	1182
602	1789	1178
603	1791	1174
604	1792	1170
605	1793	1165
606	1794	1161
607	1795	1157
608	1796	1153
609	1797	1149
610	1799	1145
611	1800	1141
612	1801	1137
613	1802	1133
614	1803	1128
615	1804	1124
616	1805	1120
617	1806	1116
618	1807	1112
619	1809	1108
620	1810	1104
621	1811	1100
622	1812	1096
623	1813	1092
624	1814	1088
625	1815	1084
626	1816	1080
627	1817	1076
628	1818	1072
629	1820	1069
630	1821	1065
631	1822	1061
632	1823	1057
633	1825	1053
634	1826	1049
635	1827	1045
636	1829	1042
637	1830	1038
638	1831	1034
639	1832	1030
640	1834	1027
641	1835	1023
642	1836	1019
643	1837	1016
644	1838	1012
645	1840	1008
646	1841	1004
647	1842	1000
648	1843	997
649	1844	993
650	1846	989
651	1847	986
652	1849	982
653	1849	978
654	1850	974
655	1852	971
656	1852	967
657	1854	963
658	1855	960
659	1856	956
660	1857	952
661	1858	948
662	1859	944
663	1860	941
664	1861	937
665	1862	933
666	1863	930
667	1864	926
668	1864	922
669	1865	918
670	1867	915
671	1867	911
672	1868	907
673	1869	904
674	1870	900
675	1871	896
676	1873	893
677	1873	889
678	1874	886
679	1876	882
680	1876	879
681	1877	875
682	1878	872
683	1879	868
684	1880	864
685	1882	861
686	1882	857
687	1883	854
688	1884	850
689	1885	847
690	1887	843
691	1887	840
692	1888	836
693	1890	833
694	1891	829
695	1891	826
696	1892	822
697	1893	819
698	1894	815
699	1895	812
700	1896	808
701	1897	805
702	1898	802
703	1899	798
704	1900	795
705	1901	791
706	1902	788
707	1903	784
708	1904	781
709	1904	778
710	1906	774
711	1907	771
712	1907	767
713	1908	764
714	1909	761
715	1910	757
716	1911	754
717	1912	751
718	1913	747
719	1914	744
720	1915	741
721	1916	737
722	1917	734
723	1918	731
724	1919	728
725	1920	724
726	1921	721
727	1922	718
728	1923	715
729	1924	711
730	1925	708
731	1926	705
732	1927	701
733	1928	698
734	1929	695
735	1930	692
736	1931	689
737	1931	685
738	1932	682
739	1933	679
740	1934	676
741	1935	673
742	1936	669
743	1937	666
744	1938	663
745	1939	660
746	1940	657
747	1941	654
748	1943	651
749	1944	648
750	1945	645
751	1946	641
752	1946	638
753	1948	635
754	1949	632
755	1950	629
756	1951	626
757	1952	623
758	1953	620
759	1955	617
760	1956	614
761	1957	611
762	1958	608
763	1959	605
764	1960	602
765	1961	599
766	1962	596
767	1963	593
768	1964	590
769	1965	587
770	1967	584
771	1967	581
772	1969	578
773	1970	575
774	1971	572
775	1972	569
776	1973	566
777	1974	563
778	1975	560
779	1976	557
780	1977	554
781	1978	551
782	1979	548
783	1980	545
784	1981	542
785	1982	539
786	1983	536
787	1984	533
788	1985	531
789	1986	528
790	1987	525
791	1989	522
792	1990	519
793	1990	516
794	1991	513
795	1992	510
796	1993	507
797	1994	504
798	1995	502
799	1996	499
800	1997	496
801	1998	493
802	2000	490
803	2001	487
804	2002	485
805	2003	482
806	2004	479
807	2005	476
808	2006	473
809	2007	470
810	2008	468
811	2009	465
812	2010	462
813	2012	459
814	2013	456
815	2014	454
816	2015	451
817	2016	448
818	2017	445
819	2018	443
820	2019	440
821	2020	437
822	2021	434
823	2022	432
824	2023	429
825	2024	426
826	2026	423
827	2027	421
828	2027	418
829	2028	415
830	2030	412
831	2030	410
832	2031	407
833	2033	404
834	2033	401
835	2035	399
836	2035	396
837	2036	393
838	2037	391
839	2038	388
840	2040	385
841	2040	382
842	2041	380
843	2042	377
844	2043	374
845	2044	372
846	2046	369
847	2046	366
848	2047	364
849	2048	361
850	2049	358
851	2050	356
852	2051	353
853	2052	350
854	2053	348
855	2054	345
856	2055	343
857	2056	340
858	2058	337
859	2058	335
860	2059	332
861	2060	329
862	2061	327
863	2063	324
864	2064	322
865	2065	319
866	2066	317
867	2067	314
868	2068	311
869	2070	309
870	2070	306
871	2071	304
872	2073	301
873	2074	299
874	2075	296
875	2076	293
876	2077	291
877	2078	288
878	2079	286
879	2080	283
880	2081	281
881	2082	278
882	2083	276
883	2084	273
884	2085	271
885	2086	268
886	2087	265
887	2088	263
888	2089	260
889	2090	258
890	2091	255
891	2092	253
892	2093	250
893	2094	248
894	2096	245
895	2096	243
896	2097	240
897	2099	238
898	2100	235
899	2101	233
900	2102	231
901	2103	228
902	2104	226
903	2105	223
904	2106	221
905	2107	218
906	2109	216
907	2109	213
908	2110	211
909	2112	208
910	2112	206
911	2113	203
912	2115	201
913	2116	199
914	2117	196
915	2118	194
916	2119	191
917	2120	189
918	2121	186
919	2122	184
920	2123	182
921	2124	179
922	2125	177
923	2126	174
924	2127	172
925	2128	170
926	2129	167
927	2130	165
928	2131	162
929	2132	160
930	2133	158
931	2134	155
932	2135	153
933	2136	150
934	2137	148
935	2138	146
936	2139	143
937	2140	141
938	2141	139
939	2142	136
940	2143	134
941	2144	132
942	2145	129
943	2146	127
944	2147	124
945	2148	122
946	2149	120
947	2150	117
948	2151	115
949	2153	113
950	2153	110
951	2155	108
952	2155	106
953	2156	103
954	2157	101
955	2158	99
956	2159	97
957	2161	94
958	2161	92
959	2162	90
960	2163	87
961	2164	85
962	2165	83
963	2166	80
964	2167	78
965	2168	76
966	2168	74
967	2170	71
968	2171	69
969	2171	67
970	2173	64
971	2173	62
972	2174	60
973	2175	58
974	2176	55
975	2177	53
976	2178	51
977	2179	49
978	2180	46
979	2181	44
980	2182	42
981	2183	40
982	2184	37
983	2185	35
984	2186	33
985	2187	31
986	2188	28
987	2189	26
988	2191	24
989	2192	22
990	2193	19
991	2194	17
992	2195	15
993	2196	13
994	2198	11
995	2199	8
996	2200	6
997	2201	4
998	2202	2
999	2204	0

986	2765	36
987	2766	33
988	2766	30
989	2768	27
990	2769	25
991	2769	22
992	2770	19
993	2771	16
994	2772	13
995	2773	11
996	2774	8
997	2775	5
998	2776	2
999	2777	0
2	4180	29
993	4181	25
994	4182	21
995	4183	16
996	4184	12
997	4185	8
998	4186	4
999	4187	0
8	102
985	6751	95
986	6756	88
987	6758	82
988	6763	75
989	6769	68
990	6775	61
991	6781	54
992	6783	47
993	6787	40
994	6794	34
995	6809	27
996	6813	20
997	6816	13
998	6819	6
999	6820	0
