iter	RMSE
0	13.69398889
1	13.28075827
2	12.87494504
3	12.49890414
4	12.109665
5	11.72123805
6	11.35307528
7	10.97673317
8	10.63229086
9	10.29645521
10	9.975468929
11	9.658482644
12	9.380318875
13	9.092189363
14	8.817202831
15	8.539827906
16	8.301855589
17	8.072744654
18	7.819367527
19	7.579122135
20	7.3585802
21	7.140255517
22	6.932990396
23	6.726088452
24	6.534683401
25	6.333721634
26	6.162426865
27	5.975857134
28	5.821269449
29	5.641142624
30	5.478018461
31	5.31318841
32	5.163207367
33	5.006671149
34	4.853844417
35	4.724859763
36	4.590468264
37	4.454717136
38	4.328998229
39	4.214130036
40	4.094618496
41	3.978575461
42	3.863439204
43	3.751849846
44	3.647259296
45	3.541249428
46	3.435695569
47	3.341347797
48	3.247117846
49	3.15520213
50	3.070042817
51	2.981290728
52	2.901245796
53	2.825735284
54	2.746791535
55	2.668918233
56	2.597816722
57	2.529966135
58	2.46122204
59	2.394095391
60	2.32829442
61	2.267984852
62	2.210773671
63	2.153398024
64	2.097003912
65	2.040848846
66	1.993161443
67	1.939999544
68	1.890740225
69	1.839758624
70	1.790844245
71	1.749040321
72	1.707854824
73	1.663541657
74	1.621134732
75	1.58171657
76	1.539915401
77	1.499622372
78	1.466286355
79	1.433528001
80	1.402488286
81	1.369135487
82	1.337086672
83	1.305556111
84	1.275404313
85	1.245727942
86	1.221682966
87	1.195020978
88	1.16963294
89	1.141728181
90	1.119574479
91	1.095472465
92	1.074525885
93	1.053694701
94	1.034347253
95	1.015231663
96	0.9925327369
97	0.9723601003
98	0.9537704805
99	0.9338544256
100	0.9145790375
101	0.8980424466
102	0.8799812725
103	0.8638514062
104	0.8494988228
105	0.8337399087
106	0.8190136225
107	0.8044544229
108	0.7893251655
109	0.7756969159
110	0.7618416852
111	0.7495933119
112	0.7378703812
113	0.7265826889
114	0.7161219283
115	0.7053439212
116	0.6953001746
117	0.6850810266
118	0.6763973393
119	0.66854457
120	0.6599394137
121	0.6513906261
122	0.6436779034
123	0.6352422001
124	0.627124605
125	0.6202424351
126	0.6136656531
127	0.6065484766
128	0.6006771827
129	0.5951852382
130	0.5887869948
131	0.5832477426
132	0.5790780642
133	0.5728847335
134	0.5675608707
135	0.5633051719
136	0.5595843197
137	0.5538614118
138	0.5521949327
139	0.5467491122
140	0.542267008
141	0.540694626
142	0.5393875277
143	0.535205015
144	0.5303410389
145	0.5255898421
146	0.5209497235
147	0.5166215659
148	0.5143518079
149	0.510506687
150	0.5066282815
151	0.5053327601
152	0.5012027535
153	0.4986707062
154	0.4942961175
155	0.490404927
156	0.487407528
157	0.4863500441
158	0.4837757901
159	0.4811738996
160	0.4776435991
161	0.4744292292
162	0.4731403024
163	0.4717940556
164	0.4686370529
165	0.4669737147
166	0.4646409424
167	0.4637702083
168	0.4608223279
169	0.4598390248
170	0.4582776403
171	0.4556448977
172	0.4546800674
173	0.4533716797
174	0.4517159747
175	0.4499031944
176	0.4480924531
177	0.4470835185
178	0.4445302245
179	0.4434772613
180	0.4425281156
181	0.4411739926
182	0.440405159
183	0.4397577797
184	0.4388030253
185	0.4366433117
186	0.435897566
187	0.4353147198
188	0.43455128
189	0.4340174585
190	0.4311270888
191	0.4289186968
192	0.4279238945
193	0.4250302157
194	0.4245420105
195	0.4238135277
196	0.4233139081
197	0.4206523034
198	0.4200889853
199	0.4195971714
200	0.417974459
201	0.4173960868
202	0.4167368156
203	0.4161006543
204	0.4143555698
205	0.4138786307
206	0.4133468206
207	0.4128696642
208	0.412450697
209	0.410453331
210	0.409953009
211	0.4078325139
212	0.4074084587
213	0.4069454231
214	0.4062364324
215	0.4036467128
216	0.400931438
217	0.4004244193
218	0.4000407965
219	0.3996938081
220	0.3993531249
221	0.3979851561
222	0.3966630672
223	0.3963391576
224	0.3939807639
225	0.3935079743
226	0.3908646963
227	0.3905673712
228	0.3900602928
229	0.3895387419
230	0.389111352
231	0.3887513675
232	0.3884228143
233	0.3869853988
234	0.3857834449
235	0.3843608558
236	0.3840120577
237	0.3837022574
238	0.3817953166
239	0.3804694599
240	0.3801580142
241	0.3797406046
242	0.3779883429
243	0.3776308575
244	0.3762438808
245	0.3759144115
246	0.3744736706
247	0.372919109
248	0.3715843857
249	0.3713797075
250	0.3703197453
251	0.3691524373
252	0.3689589467
253	0.3677351969
254	0.3668625156
255	0.3657836751
256	0.3654961208
257	0.3645833804
258	0.3636367131
259	0.3620813072
260	0.3618456368
261	0.3604377184
262	0.360211503
263	0.3599179319
264	0.3588314374
265	0.3586162555
266	0.3567782961
267	0.3565700263
268	0.3561428464
269	0.3553319632
270	0.3540099819
271	0.3530831837
272	0.3517277505
273	0.3502828566
274	0.3499942736
275	0.3486923733
276	0.3473382953
277	0.3466776495
278	0.3458652999
279	0.3456052339
280	0.3448226354
281	0.3440484995
282	0.3439026949
283	0.3431176
284	0.3427672123
285	0.3424970378
286	0.3418052086
287	0.3408990814
288	0.3392837811
289	0.3390868252
290	0.3388060121
291	0.3387033104
292	0.3385669848
293	0.3370384937
294	0.3356350289
295	0.3347038923
296	0.3339133258
297	0.3331527461
298	0.3324439322
299	0.3320431614
300	0.3313527839
301	0.3309727574
302	0.3298421778
303	0.3296290706
304	0.3294444431
305	0.3282440286
306	0.3280656099
307	0.3273624355
308	0.327217618
309	0.3265937907
310	0.3252878811
311	0.3238290059
312	0.3220141315
313	0.3211696129
314	0.3210057134
315	0.3201336657
316	0.319249761
317	0.3191071634
318	0.3190404251
319	0.3173236448
320	0.316658313
321	0.3161227497
322	0.3148573
323	0.3147232061
324	0.313888751
325	0.3126434849
326	0.3125476769
327	0.3114541013
328	0.3113116467
329	0.3108909017
330	0.310292067
331	0.3096398331
332	0.3089415484
333	0.3083207744
334	0.3068840817
335	0.3067655237
336	0.3066591875
337	0.3057016287
338	0.3050537748
339	0.3039801799
340	0.3033750195
341	0.3023720584
342	0.3011625702
343	0.2999196183
